accepted,calls,feedback,gap,gate,gens,knowledge,objective,private,roles,run,search,seconds,seed,stop,train,usd
1,20,reflections,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,split_roles,10111-s2,islands,370.3,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0381
1,20,reflections,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,split_roles,10111-s3,islands,389.3,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0391
3,20,reflections,0.012723,holdout,14,off,quality,-0.011480710249303066,single_strong,11000-s1,greedy,147.8,1,budget: max_calls (20 >= 20),-0.024203513864756436,0.034
5,20,reflections,-0.00574,holdout,8,off,quality,-0.030957063170001856,single_strong,11000-s2,greedy,120.4,2,budget: max_calls (20 >= 20),-0.025216599995650464,0.0286
4,20,reflections,0.008494,holdout,13,off,quality,-0.03248117138561657,single_strong,11000-s3,greedy,128.5,3,budget: max_calls (20 >= 20),-0.04097477312468792,0.0322
3,20,reflections,-0.129627,holdout,13,off,quality,-0.17502980092618478,split_roles,11001-s1,greedy,236.1,1,budget: max_calls (20 >= 20),-0.045402621242439614,0.0228
4,20,reflections,-0.129627,holdout,12,off,quality,-0.17502980092618478,split_roles,11001-s2,greedy,361.4,2,budget: max_calls (20 >= 20),-0.045402621242439614,0.0317
2,20,reflections,0.010858,holdout,13,off,quality,-0.03312051128170928,split_roles,11001-s3,greedy,802.4,3,budget: max_calls (20 >= 20),-0.043978405040335455,0.0571
2,20,reflections,0.011069,holdout,8,wiki_fs,quality,-0.03483224015189561,single_strong,11010-s1,greedy,105.3,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0356
2,20,reflections,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,single_strong,11010-s2,greedy,147.3,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0805
1,20,reflections,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,single_strong,11010-s3,greedy,154.1,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0803
2,20,reflections,0.011069,holdout,17,wiki_fs,quality,-0.03483224015189561,split_roles,11011-s1,greedy,277.4,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0344
1,20,reflections,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,split_roles,11011-s2,greedy,273.9,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0369
3,20,reflections,0.011069,holdout,15,wiki_fs,quality,-0.03483224015189561,split_roles,11011-s3,greedy,256.0,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0323
2,20,reflections,0.011069,holdout,24,off,quality,-0.03483224015189561,single_strong,11100-s1,islands,101.5,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0211
2,20,reflections,0.011069,holdout,13,off,quality,-0.03483224015189561,single_strong,11100-s2,islands,86.3,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.019
3,20,reflections,0.01628,holdout,13,off,quality,-0.027678301475603205,single_strong,11100-s3,islands,101.7,3,budget: max_calls (20 >= 20),-0.04395877219657318,0.0203
1,20,reflections,0.011069,holdout,40,off,quality,-0.03483224015189561,split_roles,11101-s1,islands,585.2,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0313
1,20,reflections,0.011069,holdout,40,off,quality,-0.03483224015189561,split_roles,11101-s2,islands,519.7,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0293
2,20,reflections,0.011069,holdout,24,off,quality,-0.03483224015189561,split_roles,11101-s3,islands,362.2,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0218
1,20,reflections,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,single_strong,11110-s1,islands,145.8,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0812
3,20,reflections,0.012698,holdout,24,wiki_fs,quality,-0.03222345250747805,single_strong,11110-s2,islands,121.8,2,budget: max_calls (20 >= 20),-0.04492176425608914,0.0575
1,20,reflections,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,single_strong,11110-s3,islands,138.8,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0834
2,20,reflections,0.011069,holdout,13,wiki_fs,quality,-0.03483224015189561,split_roles,11111-s1,islands,149.5,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0239
2,20,reflections,0.011069,holdout,16,wiki_fs,quality,-0.03483224015189561,split_roles,11111-s2,islands,158.6,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0239
2,20,reflections,0.011069,holdout,32,wiki_fs,quality,-0.03483224015189561,split_roles,11111-s3,islands,202.9,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0335
